text,label
एउटा एम्बुलेन्स सम्म नभएको कालिकोटको रासकोटमा हामी १५ बेडको स्मार्ट डिजिटल अस्पताल बनाउदै छौ,p
एउटा निजि टेलिभिजनको कार्यक्रमले भर्खर ५२ओटा घर बनाएर प्रदेश नम्बर २ का मुशहरहरुलाई हस्तान्तरण गरिसकेको छ,p
अब पालो बिकट कालिकोटको आजको कार्यक्रम कालिकोट बाटै,p
सानो बालकलाई रोग लागेको छ,n
आमासङ पैसा छैन,n
हामीसङ जो धिप धिप्पाउदै भएपनि बाल्दै छौ,nu
माघ १ गतेदेखि २४ घन्टा नै टल फ्री टेलिफोन,nu
सेवाबैशाख ८ बाट देशका सातै प्रदेशमा कार्यालय र गुनासो सेन्टरभाईबर,nu
ह्वाट्स याप मार्फत विश्व भरिका दर्शकहरुले लाईभ सहभागी हुन पाउने गरि नया प्रतिबद्धता आजको कार्यक्रममा,nu
दोष जसलाई लागेपनि भोगाइ बद्लिने होइनमुस्किलको,n
यो घडिमा साथहौसला प्रदान गर्नुहुने सम्पुर्ण महानुभावहरु प्रति शीर निहुराएरै आभार प्रकट गर्दछु,p
साथै आफन्त र परिवारप्रति मेरा कारण पर्न गएको चोट,n
प्रति क्षमा याचना समेत गर्दछुआफ्ना तर्फबाट यो बिषय अब सदाका लागि यसरी टुङ्याएको छु,nu
जिन्दगी मेरै मात्र लयमा कहाँ चल्दो रहेछ रगोरेटोमा भेटिने र दोबाटोमा छुटिनेहरुको नियत मेरो वशमा भएन,nu
आफ्ना गल्तीहरु,n
सुधारेरकानुन बमोजिम संबंधित सबैको हक अधिकार सुरक्षीत,p
गरिसकेको पुरानो घटनाबाट केवल पाठ सिक्न मात्र सक्छुबाकी आजको कार्यक्रममा बताएको छु,nu
मन्त्री रबिन्द्र अधिकारीले कुर्सीमा झुन्डिएर बस्न सुहाउँदैन माहाकाली सन्धिको बिरोधमा पार्टी परित्याग,n
गर्न सक्ने मन्त्रीले पद भन्दा आफ्नो कदलाई ठुलो मान्नु पर्छ,p
शेर ब तामाङले जिब्रो चिप्लिएर राजिनामा दिएको हिजो अस्ति मात्रै हो,p
आशा,p
अझै मरेको छैन,n
मानवीय धर्म भन्दा ठुलो,p
राजनीति को धर्म बन्यो,nu
हात्तीको दात जस्तो चपाउने कुन देखाउने कुनठम्याउनै नसक्ने के बन्यो के बन्योजीउँदो मान्छेलाई २ पटक आर्यघाट पुर्याउनेलाई घृणा,n
अस्पताल लैजानेलाई सम्मान गर्न चाहन्छौ,p
पोशाकमापनि मनमापनि र व्यबहारमापनि राष्ट्रियता हुने मानिस कोहि १ जना मात्र हुनुहुन्छ,p
तीनै १ जना प्रति सम्मान स्वरूप यो तस्बिर राखेको,p
मात्र हुयो तस्बिर नै राष्ट्रवादी हुनुको प्रमाण चाहिँ होइन,n
साथै अङ्ग्रेजी नयाँ वर्ष २०१९ को धेरै धेरै शुभकामना,p
राम बहादुर बम्जनका विरुद्ध उठेका प्रश्नहरुको जवाफ खोज्ने प्रयास,nu
आजको कार्यक्रममा गरेका छौसेतोपाटी डिजिटल पत्रीकाको रिपोर्टिङमा आधारित रहेर फलोअप गरेका छौबम्जनका प्रतिनिधि र प्रहरी प्रवक्ता दुबैका भनाइ समावेश गरिएको यो एपिसोडले धेरैको जिज्ञासा मेटाउछ कि,nu
विद्यार्थीलाई भड्काएर आन्दोलन गर्न लागाउने,n
र संचालकसँग ४लाख घुस लिने,n
विद्यार्थी नेताहरुलाई चिन्नुहोलाभोलि देश बनाउने यिनै हुन सक्छन,p
प्रिय रबि नया पुस्ताकोतपाइ जस्तो सौर्यवान र प्रतिभावान प्रतिनिधिसंग संवादको अवसर मेरा लागी पनि उत्तिकै खुसीको कुरा होयो,p
सुखदअवसरका निम्ति तपाई लगायत सम्पुर्ण टीम,nu
प्रायोजकहरु र प्रियतम नगरी पोखरा महोत्सवमा उत्साहपुर्वक सहभागिता जनाउने,nu
सबैलाइ आभारपैसा सबै सङ्ग होला तर दयालु मन,p
सबै सङ्ग काहा हुन्छ र हजुरको काम प्रती सम्मान गर्छु,p
आज सम्मको हरेक,nu
बुडि आमा आयेर रुदा सारै मन रोयो,n
रबि संघ कुरा गर्दा देउतानै भेटेजै बारम्बार नमस्कार गरिरहिन,p
साच्चै मेरो देश मा डाबाबुराम भट्टराई रबि लामिछाने कुलमान घिसिङ जस्ता मान्छे छन र त देश बन्छ कि भन्ने आश छ कस्सम,p
आजको कार्यक्रम हेर्नु होला,nu
भाबुक बनायो रबि सर हजुरले गरेको हो,n
रबि सर हजुरलाइ कुन सब्दले धनेबध दिउ हजुर महान बेक्तिलाइ,p
आमा प्रती को तपाइको सम्मालाइ मेरो नमन,p
जसले आफ्नो स्वार्थमा,n
जन्म दिने आमार हजुरामा वा आफ्नो घरको वुजुर्ग लाई लत्याउन खोज्,n
येस्तो मानिस ले स्वार्थ लाई मात्रै प्राप्त गर्छ तर जिन्दगी भरि स्वार्थ को आगो ले पोलि रहन्छ,n
एक दिन चेतना अवस्य आउनेछ,p
तरछाडेकाे तिर ले घाउ लागी सक्योतर अब अर्को छोरा आयो ति हुन् रवि जि,p
रबिसर महान हुनुहुन्छ,p
तर पनि ती हरुज आमालाई जिबनभर पाल्ने,p
प्रतिबद्दता गर्नु भन्दा उनिलाई उसैको छोरा बुहारुलाई न्यायको दायरामा ल्याएर जिम्म लगाइदिए उचित हुन्थ्योकी,nu
नेपालमा एस्ता मानिसको कमिछैनन कि बाबा आमालाई बृद्धा आश्रम पुर्याउनेहरु,n
प्यारो दाइ यसरि नै अगाढी बढ्नु होला हामि हरुको साथ् हजुरलाई,p
रबी सरलाइ सलाम छ,p
धन्दे वाद रबि सर,p
यस्तै पारिवारिक कुरामा बढी ध्यान दिनु भो,nu
फेरी आलोचित हुनुहुन्छ हैपारिवारिक समस्यालाई कानुनको बाटो देखाईदिनु उपयुक्त होलाटेलिभिजनको पर्दामा भन्दा पनि,nu
पचास लाखको लागतको सार्वजनिक सौचालय को हालत देख्दा राजनिती पखाला ले डामाडोल भएछ,n
पुलिस को कुरा गर्ने हो भने बिरगंज मात्र हैन पुर्वको रंगेली साइडमा खुलेआम भारतिय नम्बर प्लेटका मोसामा बर्दिसहितका भारतिय पुलिस प्राय देखिन्छ रोक्ने छेक्ने कस्ले,p
जो आफ्नो परिवार को हुन सकेन उस्को कुरा नि के सुन्नु जस्तो लाग्छ घरीघरी,n
आफ्नो देश बिगार्ने चोर भ्रष्टाचारि जति सबैलाइ गोलि ठोकौ लाग्छ सधैभरी,n
संसद नै गनाई सकाे साैचालयत सामन्य कुरा हाे देशमा,n
सर ३ करोड नेपाली हजुरको साथमा छन् हामी सबैको भरोसा कहिले हजुर बाट उठ्ने काम् हजुर बाट हुन भएन,p
अचम्म छ राजनीति पनि शौचालयमा,n
खै देश हाक्नेहरु नै माफिया छ्न कहिले होला बिकास र समृद्धि,n
निकितालाई भित्राउन पो रहेछ रविले ईशालाई रुवाई रुवाई,n
सारा श्रीसम्पती सप्पै सुम्पेर डिर्भोस गरेको आफ्नैलाई न्याय दिन नसक्नेले अरुलाई न्याय दिने ढ्वाङ फिट्नु लज्जा सरनम्,n
लेख्न पायो भन्दैमा जे पनि है,n
गर्न पायो भन्दै मा जे पनि है,n
स्त्री लम्पट भएपनि देशको अलिकती सुधारमा सहयोग गरेकोले सारा नेपालीले साथ दिएका हुन,p
जो ब्यक्ती एक दुइ तिन कोहुन सक्दैन त्यो चारको पनि हुन सक्दैन,n
ल्याउने भन्दा पनि आउने बढी गल्ती देख्छ मेरो नजरले धेरैको चहाना तपाईं जस्तो बनुम भन्नेछ,p
देशकोलागी मात्रै परिवारको लागी कोहि नबनुन,nu
घुमाईफिराई दोष जता फर्काएपनि घर भांडिने कारण भनेको आफु स्वंयम् हो ब्रो,n
यो भन्दा अघील्लो बिहेको लागी अरु कसैले आशिर्वाद द्याथेनन् अब घरमा ‘सीधाकुरा श्रीमती संग’ अनी मात्र स्टूडियोमा जनतासंग ओके,p
आखिर स्वास्नी चाहिनेनै हो भने च्याट गरेका कुराको भर मा दुई छोरी लाई टुहुरी बनाउन भन्दा त अब यस्तो नगरौ भनेर दुबै सुध्रीयको भय कति राम्रो हुने थियो,p
आखिर अर्काकी स्वास्नी ल्याउन पर्ने रहेछ के त्यो भर्जिन थि र ल्यायको होला,n
एक जना यस्तो भाग्यमानी पुरुष हुन जो ४५ वटा बिहे गरेर पनि अधिकांश महिलाको नजरमा आदर्श व्यक्ति कहलिएका छन,p
हार्दिक बधाई एवं मंगलमय शुभकामना हजूर हरू को दाम्पत्य जीवन फलोस फूलोस शुख़मय रहोस शुभ आसिर्बाद,p
नाटक चाहिँ अलि धेरै नै भयो है तपाईंको,n
व्यक्तिगत जीवन अवस्य छ सबैको हुन्छ तर व्यक्तिगत जिवनमा जोडिएकालाई लाखापाखा लगाउँदै नयाँ सम्बन्ध जोड्दै,p
यो मेरो व्यक्तिगत जीवन हो भन्दै मन लागेको गर्नु सहि होईन,n
महासय नयाँ वैवाहिक जिवनको शुभकामना,p
त्यति लेखिसकेपछी अन्तिममा शुभकामना भनेर किन लेख्नु,n
यो फेरि सिधै मेरो यसमा समर्थन छैनमलाई मन परेन भने भैगो नि,n
माथी लेखेकै छन् त आज चाहिँ हामी सबैबाट एउटै कुरा चाहन्छौं आशिर्वाद,p
अब यति अनुरोध नै गरेपछी ५ शब्दको शुभकामना पनि के नदिनु,p
मेहन्दिको पात झै भएर नेपाली नारिको हातमा रंग भरिहनुहोस्,p
स्वाच्छ पानीको मुहान भएर हरेक नेपालिलाई तिर्खाको प्यास मेटाईरहनुहोस्,p
मेरो तर्फाबाट आशिर्वाद साथै दम्पती जिवनलाई शुभकामना र हल्का रमाईलो,p
विगत जे भयो भयो अब वर्तमानमा विगत नदोहो याउनु होला,nu
आज एउटा कुरा पक्का भयो श्रीमती एउटि खराब थिन,n
दुइटी पनि खराब पर्न सक्छिन,n
तर एउटै मान्छेको जिवनमा तिनतीन वटि श्रीमती नै खराब,n
कुरा पक्का छ बिगतमा तपाई खराब चरित्रकै हुनुहुदोरैछ,n
अब बिगत बदल्न सकिँदैन त्यसैले भविष्यमा चरित्रवान बन्न यो बिवाहले प्रेरणा थपोस शुभकामना,p
शतप्रतिशत,p
ल बधाई छ सर अब धेरै जनालाई काम मिल्ने भो,p
हजूरको बिहेले काम नपाकाले पनि काम पाऊने भए,p
कतिलाई समाचार बनाऊन भ्याई नभ्याई हूने भो फेरी नि रबि सरको बिहेको समचार पढन नपरोस यही बिहेले सफलता पाओस,p
तपाईको देश र जनताप्रतिको योगदान महान छ,p
सर तर के गर्ने देशको कानुन नै गतिलो छैन आज पक्रीन्छ्न भोलि छुट्छ्न,n
त्यसैले त प्रणालीमा नै हिट नगरी हुदैन भनेको एक दुईजनालाई देखाएर धेरैलाई फाइदा हुदैन भाइ,n
गाई काटेर खानेहरु नेपालीको दुश्मन हो,n
यसले यो देखाउछ कि नेपालमा कुनै नेपालीको सरकार नभएर कुनै झोले पश्चिमा बिधर्मी को सरकार छ नेपालमा गाई काटेर खाने कुनै रंग ले हेर्दा उचित छैन,nu
गाई हत्यारा लाई कठोर दण्ड हुनुपर्छ,n
नेपालमै बसी नेपालीकै गोठ बाट गाई चोरेर गाई काटेर खानेहरु हिन्दू नेपालीका दुश्मन हुन,n
सलाम छ रबि सर,p
खै नेपाल को कानुन दैवले जानुन छ के गर्ने,nu
नयाँ जोगिले अलि बडि खरानी धस्छ भनेको जस्तै होकि जस्तो लाग्यो,nu
सरकारको काला कर्तुतहरु छोप्नका लागि केहिदिनको नाटक पनि हुन सक्छ,nu
अझै ठुला माछाहरुलाइ सुरक्षित गर्न पनि हुन सक्छ,nu
प्रधान न्यायाधीशको सच्चा र इमानदारीताको कार्य पनि हुन सक्छ जेहोस राम्रैको लागि होस रबि जी,p
आजको कार्यक्रम हेर्नु होला,nu
श्रीमान को प्रसन्शा गरी हाल्न अलिक हतार गरिदै,p
रबि सर पहिला गुगोल बाट लाइभ हेर्न मिल्थ्यो आजकल किन गुगोल बाट लाइभ आउदैन,nu
बाच्नलाई बाचेकै छु भन्नपनि लाज लाग्ने,nu
हास्नलाई हासेकै छु भन्नपनी लाज लाग्ने,nu
उदाङ्गो छ सरकार अन्योल छायो देशमा जान्नलाई जानेकै छु भन्नपनी लाज लाग्ने,nu
भ्रष्टाचार र महङ्गिले अब कति थला पर्ने,nu
आफ्नै देशमा बसेकै छु भन्नपनी लाज लाग्ने,nu
हाँसो रोदन पीडा खुसी खै के रह्यो र देख्न,nu
न्यायालयमा आशाको दियो बल्नैपर्छ,p
भ्रष्ट र दलाल माथि राणा शासन चल्नैपर्छ,n
उल्टै पाँच न्यायाधीश दलाल नेता भनाउदासङ मिलेर राणालाई पल्टाए भने,n
नौलो कुरा नसोच्दा हुन्छ अनेक हुन्छ हाम्रो नेपालमा,n
दाजु भाषा अलिक सुधारौ कि,p
राणा शासन सँग अहिलेको प्रधानन्याधिस लाई यसरी नजोडेको भये हुने,nu
अहिले भएको वा हुँदै गरेको कार्यलाई राणा शासन भन्दैनन् कि दाजु मात्रै सुझाब,nu
हामी बनाउन थालौं गर्छु एउटा प्रोजेक्ट जसरी गरौं,nu
म अहिले क्यानाडामा पढ्दै छु र यहाँ बाट सक्दो उठाउँछु पैसा,nu
सरकार भ्रष्ट छ,n
भ्रष्टाचारको लागि सरकार छ,p
एउटा मेलम्ची आयोजना सप्पन्न न हुने यो देशमा,n
धर्म र देशलाई त नछोड्नेले पुलमा गर्ने के लाज मान्लान र जसले जे सुकै भनोस,n
तेसै हाम्राे देश पछाडि परेकाे हाेइन सर,nu
भातमारा नेता भएसी यस्तै हुन्छ जस्तो छ सरकार के गर्नु सर,n
जनताको हृदय खुसि पार्ने सरकारको कदम रहेन,n
ठुला ठुला सपना बाढ्नुको साटो यो पुल बनाउछु भनेर काम गरेका भा हाई हाई होला,nu
कर्णाली जस्तो ठुलो नदिमा बन्ने पुलको लागत पनि सानो भने छैन,nu
त्यसैमा पेटपाल्ने थलो भा छ कतिका त यो प्रोजेक्ट पनि जनताकै सहयोगमा जनताबाटै बन्ला बरू,nu
कठै हाम्रो देश का नेता जनतालाई सुबिधा सम्पन्न बनाउन त काहो का यउटा पुल धरि बनाउदै नन,nu
चुनाबको बेला ढाटछल गर्न लाई हो लाहै सर,n
केही पनि नगरौ भन्ने मनशय भएर भन्दा पनि केही गरौ भन्ने मनशाय को अभाबले देश अघि बढ्न सकेको छैन,nu
दाजु सधै सम्मान छ,p
राइट,p
पुल र बाटोको कुरो सार्है रमाइलो हुन्छ,p
राजनितिमा धेरै नेता भनाउदाको रोजी रोटी बन्छ,p
रअर्को तिर मन्त्री भएको बेला तराइका केही जिल्लामा खोल्छा खोल्छामा पुल बनाएका छन्,p
भ्रस्टचारी नेपाली को को छनबिदेशमा कुन बैंकमा पैसा रकम खाता छन भन्ने कुराको पर्दाफास,n
बयान गर्ने शब्दको खोजिमा छु,nu
सरसायद भगवान आफै प्रकट हुन सम्भव नभएर हजुर जस्तो मान्छे पठाएका होला,p
सायाद केही इट्टा थप्ने काम मेरो पनि रहने छ,nu
आजको कार्यक्रम हेर्नु होला,nu
एउटा अतिनै दुर्भाग्य पुर्न घटना हो प्रदेश को त्यसको फलोअप गर्दिन अनुरोध गर्द्छु,nu
तपाईलाई स्यालुट छ सकेजति,p
आफ्नो योगदान दिदै जानुस् भगवान हमेशा साथ दिनुहुनेछ मेरो प्राथना छ,p
वाह सञ्चारकर्मी परोपकारीपत्रकारिता लोककल्याणकारी जनहित जनसेवा दुर्गम मनकारिता रविकारित,n
आजको चै थियो,nu
दाज्यु हामी पनि सहयोग गर्न चाहान्छौ कसरी माध्यम बताइ दिनु पर्यो,nu
एकदम राम्रो कामको सुरुवात भएको छ,p
यस काममा हामी सबैले आफ्नो आफ्नो क्षेत्रबाट सक्ने सहयोग गर्नु पर्ने बेला आएको छ,p
रवि दाजु हजुरले प्रोग्राम मा किन टाई लगौनुन्न बडो सोचेको छु तर नै पत्ता लगाउन सकेन,p
राम्रो काम को खुलेर प्रशंसा गरिन्छ,p
नराम्रो काम को घोर बिरोध,n
सच्चा र सचेत नागरिको मुल धर्म नै एहि हो,nu
गुणस्तरीय सेवाको निरन्तरता अस्पतालमा होस बधाई छ,p
बधाई छ,p
एक पटक प्रधानमन्त्री बन्नु पर्छ दाइ,nu
आजको कार्यक्रम हेर्नु होला,nu
मलाई चाहि सही लाग्यो मित्रको के छ त राय सल्ला सरकारी कार्यालयमा अनुगमन फितलो भयो यस्तो लैतुगे पाराले हुँदैनन् है,nu
प्रतीक्षामा थिएँ कहिले आउँछ,nu
बधाई छ आफैलाई बनाउनु भएको मा,p
रबि सरको कार्यक्रम सधै युट्युब मा हेर्ने गर्छु,p
कुनै कार्यक्रम पनी छुटेको हुदैन,p
दीन भरी काम राती रोम मा आय पनी युट्युव मा कार्यक्रम हेरिन्छ,p
अनी मजा ले सुतीन्छ रबी सर तपाई हामी जस्ता आमनागरिक को लागी भगवान हुनुहुन्छ,p
यसरी सधै हजूर जनता को पक्ष काम गरीरहनु शुभकामना,p
भर्खर हेरे यता आको छुराजकोट अस्पताल को लागि म पनि केही सयोग गरेर एक इटा लगाउने छु रबि सर,p
युट्युबमा हेर्दै पनि छु,nu
शुभ प्रभात,p
राजकोट अस्पताल को सहयोग कसरी गर्न सकिन्छ कृपया जानकारी पाउ,p
भाई को दिन शुभ र मंगल रहोस् धन्यवाद,p
विश्वासको त्यही धिप धिप बल्ने दियोले नै अँध्यारो भगाउन मद्दत गर्दछ,p
तर दियो बाल्न कहिले नछोड्नु होला हर परिस्थितिमा सदैव अग्रसर रहनुहोला,p
हरेक मान्छेको सफलता को पछाड़ी एउटा महिलाको हात हुन्छ तर हजूरको सफलता को पछाड़ी चार जना महिलाको हात छ,nu
नया कामको लागि हजुर लाई बधाई,p
अग्रिम शुभकामना,p
पहिले खोलेका क्षेत्रीय कार्यालय त बन्द गर्नुस,n
हार्दिक बधाई एबम सफलताको शुभकामना,p
ग्रेट,p
यो कार्यक्रम एउटा कोसे ढुङ्गा बनोस शुभकामना एव बधाई,p
एउटा सुन्दर नयाँ दिन बनोस,p
राम्रो कामको लागि शुभकामना छ,p
साझा सबाल मोडल को एउटा कार्यक्रम तैयार पार्नु,nu
बिहे नगरी बसे सबको मन जित्ने कुरो देखियो,nu
धेरै राम्रो काम रबि सर बधाई तथा प्रगती को अग्रीम शुभ कामना,p
सर्वसाधारण को हितका लागि गर्नु भएको कामको लागि मुरि मुरि धन्यवाद छ,p
राम्रो कामको सुरुवात कार्यक्रम अझै प्रभावकारी बनोस,p
हार्दिक बधाई एबम सफलताको,p
घरमा बुढीलाई तनाव दिएर असान्ती फैलाउने अनि सबको सारा भगवान रुपि रुप देखाउने,n
धन्तिम्रो सामाजिक कार्य पहिला घर शान्ति गर अनि बाँकी दुनियाँ गर,p
यसको स्कृन सट राखिरहनु होला कुनै दिन वास्तविकता पुरै बुझेर पछुताउन काम लाग्छ,nu
पहिला कस्ता थिए भन्ने कुरामा मतलब भएन,nu
अहिले के गर्दैछन भन्ने कुरामा हामी केन्द्रित छौ ढुक्क हुनुहोला,p
गल्ति स्विकार्नुनै ठुलो प्रायश्चित हो,p
माफ गरुन या नगरुन चन्द्रममा पनि दाग नलागेको कहाँ छर,nu
आगामि कार्य जीवनको कदम प्रति ईमान्दार रहोस शुभ रहोस कामना छ,p
प्रशंसा हुदामात्र होइन तिम्रा गल्तीहरु सुन्दा पनि निर्धक्क म तिम्रै समर्थक हु,p
कमजोरी हर मान्छेको हुन्छ बिगतका गल्तीबाट सिक्दै अगाडि बढ शुभेच्छा छ जय नेपाल,nu
मेरो जिज्ञासा उनको पत्रकारिताको शैलिमा मात्र हो धन्यपात,nu
नाक चाई नभाचिदिनु होला प्लिज,p
पुस्तौ देखि को रिस पोख्नु भए छ बिचरा,n
रिस खै किन उठो था छैन,nu
आफु साफ़ र सहि पुर्व पत्नी ग़लत देखाउदा गालामा चार झापट लगाउन मन लागो,n
जसरी तपाईंको पेजवाट र मुखवाट सुनियो त्यसरी नै इशाजीको मुख वा पेजवाट सुन्न देख्न पाएको छैन,nu
अतित के थियो उनि के गर्थे सरोकारको बिसय हैन,nu
कसैको निजि जीवन लाई धोइपखाइ महान बन्नु पनि छैन,nu
वास्तव मा बिल्कुल सहि कुरो सर,p
हैन सर त्यो कुरा त बिगत भयो नित हजुर श्रीमान शृमती सहमति मै छोडपत्र भएको भनेर खुलाएकै छन हैन,nu
औरिका बस्ने मान्छे भुतपुर्व शृमती पनि कमि बाठि नहोलिन,nu
नेता होस या पत्रकार कोहि सुद्ध छैन,n
यो नेपालमा समर्थक छन भन्दैमा दुइ पुर्व पत्नीलाइ पिडीत बनाउन पाईने,n
परिवार बाट छुट्टीदाको पिडा त असह्य पक्कै पनि होला,nu
तर आफूलाई सम्मल्नुहोला तपाईलाई श्रीमतीले छोडेपनि ३ करोड नेपालीको साथ सधै रहिरहने छ,nu
सानोतिनो गल्ती सबैको जीवनमा हुन्छ,p
विगतका गल्तीले वर्तमानको तपाईंको उचाई छेकिदैन डाह गर्नेहरू सबै हार्नेछ्न आफै जलेर भस्म हुनेछन्,p
दाजु मेरो मनका कुरानै यो तस्बिर बोल्छ विनोद त्रिपाठी जीलाई मेरो सलाम छ,p
जीवनसाथीसँग सुख-दुख घाम-छाँया विताउन पाएका भाग्यमानीहरुलाई म जस्ता अभागीको पीडा के थाहा,nu
तपाई अभागी होईन रबि सर तपाईंको साथ् करोड नेपाली को साथ् छ,nu
सर्वगुणसम्पन्न कोहि हुन,n
बिगतका कमि-कमजोरिबाट पाठ सिकेर आगामी जिवनमा सत्मार्गमा हिडेर देशको भलो हुने,p
काम निरन्तर गरिरहनु होला धेरै-धेरै शुभकामना,p
जिन्दगिको यात्रा यस्तै हो बाटोहरु सबै सजिलो छैन,n
सकारात्मक भावनाका साथ सहि कार्य गर्दै अगाडि बड्नै पर्छ यसको निम्ति शुभकामना तपाईंलाई,p
जीवनमा ठेस् र चोट कैंयौं लाग्छन्,n
त्यो जीवनको अन्त्य हो,n
आफु स्वयम कति पिडाबाट गुज्रीए पनि नेपाली जनताको पिडामा मलम लगाउने तपाईको अथक प्रयास प्रति मेरो सलाम छ,p
सोचे जस्तो छैन जीवन सम्झे जस्तो छैन जीवन,n
सार्वजनिक महत्वका यति ठुल्ठुला घटना,n
जिबनमा अनेकउँ बिध्न बाधा अड्चना अाउँछन,n
सुप्रभात,nu
दोषि नै हुन् भन्ने लाग्छ तपाईं लाई,n
कुरो यस्तो हो भने पहिल्यै किन आएन यतिखेर बांगो कुरा गरेर हुन्छ,n
मर्यादा अलिकति भए पनि रहेछ,nu
मानवता लोप भैसकेको छ ती दुष्टहरूका,n
हाम्रो देशको समस्या,nu
प्रेम प्रसाद सन्जेललाई कुन शब्दले सम्मान गरौं खै यस्ता असल र इमानदार,p
कर्मचारी देशमा भए देश बिकास अवस्य हुने थियो तपाईंको त्यो बोली सुन्दा र इमान्दारीता देख्दा लाखौं जनताको तर्फबाट सलाम,p
पुच्छरले टाउको हल्लाको तेति राम्रो होइन राजनितीक अस्थिरता रमाउन पल्केका कर्मचारीको रवैया यता नि देखा परो,n
हजुरको साहसलाई सलाम बलात्कारले सजाय र पिढीतले न्याय पाएपछि त्यो दुखाई ठिक होलानी,p
सलाम छ रवि सर हजुरलाई र हजुर जस्तै सहासी कर्मयोद्धा कर्मचारीलाई,p
टाउका भित्र धेरै फाेहाेर हुनेहरुकाे टाउको नदुखि रहन सक्दैन,n
सही कुरा दाजु एक मिडियाले अर्को मिडियाको नाम नलिने कुरा त क्या चित्त बुझ्यो,p
आजसम्म कुनै कर्मचारीले आफैंलाई भ्रष्टाचारी,n
हुँ भनेको इतिहास छ र गोपाल खड्का चुडामणि शर्माले हामी भ्रष्टाचारी,n
हौं भन्छन् र पक्कै पनि भनेनन् र भन्दैनन् पनि सक्किगो नि यिन्ले चाहेको ठाउँ पाउदा सम्म उनै वली बिष्ट महान थिए अहिले ठुल्ठुला कुरा,n
एसैगरी देशभक्ती एक भैयो भने भस्तचार अन्ते हुने देखीश्छ जस्तै प्रेम सन्जेल जस्ता,p
चप्लूसे पाराले केहि हुने वाला छैन भ्रष्ट चोर,n
संग खरो रूपमा प्रस्तुत हुनु नै पर्,n
राम्रो र नराम्रो कहिले समान हुनै सकदैन जय रवि,p
