,text,label
41, kati churiphuri yasko .,2
42, aushadhima bhrastachar garne yo maha papi ho.,0
43, ma yahan dislike garna ra yo manchhelai bahiskar garna matra aaeko ho. yesta bhrastachari netaharu Sabailai samajik samjalabat sadhaiko lagi bahiskar garao.,0
44, gokulajile bhanisake ta - bhrastachar gareko rahechh bhane bhanneharukai sabathok chha chhanabin gari pramanait garera dekhae bhaihalyo ni!,1
45, ke boleko hola yo 70 le samsad wigathan nai yo awasthako jad ho bhanne kin birsekae?,2
46, swachchha ra asal rajaniti garaum .,1
47, samariddha nepal nirman garaum .🇳🇵🇳🇵,1
48, MCC ab pas hunchha tyo pani gathabandhan jogaunako nimitta🤬😠😡,2
49, bhrastacharilai kin antarabarta lieko hola,0
50, chorale ma chor hun kadapi bhandain laj pacheko 70 karod waliko puchchharako churiphuri dekhda udek lagchha,0
51, wina swartha lobh lalach sabai kamyunista ekata jaruri chha deshaka lagi.,1
52, gokul kakalai mannaiparchha ba. 70 karodako tep nakkali re. diusai rat parne manchheharuko nai bolabal chha deshama. kati lajai namani bhanna sakeko ho bhane,0
53," 70 karod chor I aaphu chor hoin bhane kin rajinama surukka deko t ? magne belama 70 karod magne chor ,aile aaera nakali bhois ho re I",0
54, nepali samaj huiyaॅko pachhadi daudane samajabat kahile mathi uthne hola!,0
55, 70 karod kata kata lagani garnu bhayo janakari painchhaki???,2
56," yinale prasna uthe pachhi rajinama diyo re, naitikata dekhayo, sachi nai yini sahi rahechhan bhane yinaka ke pi le naitikta bechekai rahechh bhanne kuro yinaile pramanit garechhan् .",0
57, dhanyawad 🙏,1
58, 100% khakoi ho 70 karod chhati thokera bhanchhu kinaki khali pusti gar pusti gar bhanchha,0
59," 70 karodako damba ajhai hernu 😡😡😡😡,, kun nepali janatako kura??? timiharuko bhusseharu nepali janataharu hoina!!!!!",0
60, aphu padama huda niyam kanun anusasan nachahine aruma hunu parne sala gaeru,0
61," hijo dui tihai ko ghamanda garneko bahiriy pachhiko rodan ho ! bichara yo ukhane parti le kehi garnu saken ahile arule gardachhu bhanda rokne sahayog nagarne ani kasari hunachh deshama bikas ? ahile aera thik lagyo sahi ho dhamala sar ,",0
62, yo des bat samsodiy byabastha nai kharej garnu jaruri chha . hain bhane des ko halat sadhai yastai rahanchha .,0
63, naitikata haraeko manchhe,0
64, jasale je bhanos gokule kaka ram्ro neta hun,1
65, risaune matrai hoin kutna parne ho yadi ghotala nai garya bhae karabahi gare bhaigo natra barambar tachar kasle sahanchha,0
66, eka patak gokul baskota ra jnanendra shahi bich chhalaphal garnuparne bho rishiji,2
67, haJiri jawaph ma aako hoin risi ji 🤣🤣🤣,2
68, mananiy jyu bolima pariwartan hunuparchha.,1
69," mcclyae bhae bhanne haein , mcclaai leraae ta bhanne hae .desh ra janatakae hit hudain bhanne Thaha bhae mcckam rainachh bhanne hae .khabaradar mcc pas hun dine haein .",2
70, 70karaed taepakae salami chha baerrae.,1
71, yastai netalai ho ni chor aayo bhanne gaun ghar tir,0
72, rajendra lindelale bhane jastai,2
73," sattari karodaumko sandarbhama rishi dhamalale satra patak sodhieko dekhem ,dhamalalai mero prasna hijo sarakar bahir hunda birodh garneharu ahile sarakarama chha kin chhanabin nagareko bhanera sodhne ki?Kandaharu kin chhanabin nagareko kahile garne bhanera r‍yakhar‍yaki parne ki?",2
74, mcc nepaliko lagi ramrae hae,1
75, sahi ho kura.,1
76, prachanda deshaka rog nai hun .,0
77, ke 70 karod bhanchhau nalayak ho testa kilipsa prasaran garne patrukar aile nepali kangres ko kendriy sadasya bhako chha sala sab chutiya hun,0
78, sabai bhanda kharab neta gokul hun,0
79, sabai bhanda pahile kanun michera 70 karod ko bhrastachar garne gokul baskota le rajinama dinu parchha,2
80, yo chor lai dekhyo ta dimag tatiyera aauchh 😡😡😡,0
81, jabarajastiko kura garchha yar .,0
82, yasta wahiyat netalai lyar kin samay khera phalnu hunchha dhamala ji.chhi chhi,0
83, yae gaekulelai haraunuparchha,0
84, jati sakinchha saphai diun .,1
85, prasna garnai jandain ho yo dhamala ji le,0
86, chorako antarwarta aaechha 70 karod chor bhusadi😁,0
87, 70 karod chorako pheri aagaman bhaeko rahechh ma ta bhanchhu gokul chor desh chhoda.,0
88, budo goru jathau bhirama jau . thukka mero deshako neta laj pacheka bideshi dalarabadi desh purai dharashayama parisakyo .,0
89, jeje bhae pani yo manchhe ko kura sunda maja aauchh 🤪🤪🤪🤪🤪🤪,1
90, kya dinchha gokule bro 🙈🙈,2
91, yo 70 karod gokule olile garda khup churi phuri gariraheko chha laj saram nabhaeko,0
92," kabhreka badasaha, emaleko takata- gokul daiko kura sunna maja aauchh",1
93, 70 karod le ali badhi gaph dinchha,2
94, 70 karod bhrastachari kepi ko puchchhar,0
95, jasle jati sukai bhaneni gaekul bamaskaetalai maile mane,1
96, hoin yo ukhane ko chhoro ho bhandaima 70 karoda- wala gokule le pani hasaunu parne ho ra hijo usako parti huda sabai thik gareko re ahile bahiriy pachhi yo sarakar le kehi garna sakena re kati hasnu ho ab ta timiharu Perfect 👍 bhaisakechh saptahik ukhan tukka karekram chalauda hunchha all the best 👍👏,2
97, jasto guru tyastai chela.,2
98, gokul ji le garnu hunchha,2
99, marne belama lamo sas pherchha testai hola ni jhumreda...,2
100, 70 karod pani nakkali ho bhan na .,2
101, yo choralai kin gharighari antarabartako lagi bolauchhau dhamala budha?,2
102, 70 karodalai bolna pani laj lagdai ba,0
103, 70 karod dhikkar timro wichar murdawad,0
104, aama ko kura mama samg nagarnus na dhamala ji,2
105, yo rishi dhamalalai lajai chhain yar 1000 patak rajendra lindelalai lyau na yar aru netaharulai nalyau ke yar dai,0
106, chhichhichhichhi yasto nalayak lai pani ke lyaekae haela yar herne lai pani dikka . khai 70 karaed kata gayae . yae le pani ke madhawakumar shit dajna milchha. rishi sarale pani yasto lai lyaera aphnae khuttama aphai bancharo handai hunuhunchha hai.,1
107, gokul ko raj niti chahi kata,1
108, 70 karodako churiphuri yatro ?,1
109," sab thok gali garchhan ahile ,bholi aandra jodachhan mulaharu",1
110, gokul ba le aaj chahi yo hawa dhamala ko sato khayo,1
111, gokuleko paryayawachi sattari karod 🤣🤣,2
112, manchhe kolyapsa gadinu paro,0
113, yo gaunko thitto ma,2
114, dalal bhagau desh bachau,0
115, 70karod ta bahir aayo ajh yinale kati khayo hola,2
116, yo nalayak 70 karod kata bat aayo,0
117, yo bhatuwa 70 karodalai kin bela bela ma bolauchhan midiya ma?,0
118, sahi kura,0
119, malai pani chaiyo bora bora paisa 🤣🤣,2
120, e ma le ko chunaw chinnha gokul baskota,2
121, 70 karodale thulo thulo kuro gardai chha ta,2
122, chorai ho. 🤨,0
123, bharasta charika khalak haru kati chunab chunab bhaneko ho,0
124, dalar sanchitit 70 ma bha chha,2
125, heraula re 😁😁😁😁😁😁😁kmedi chyampiyan ko jaj manoj sar le yo sunera kamenta garnu bho.....karod 70 karod ......tyas pachhi mero jo chor usaiko thulo sora.ini bhanda thulo chor ko hola? laj saram bhanne chhain ajh thulo kura garchha janatale malai ke bhanchhna bhanne pani nahune😁😁chunab jitne re thu,2
126, swadeshi bidesi chhadamabesi na sakine bhayo kada,2
127, 70 carod khaera thulo kura garchha,2
128, bhrastachari daka.,0
129, 70 karod daka kai ko.,0
130, nakkali tep 😂😂😂,2
131, jo chor usaiko thulo sor chutiya 70 karod,0
132, bolna chai nidar neta ho gokul baskota jyu .,2
133, pheri yasako barwarot suru bhayo 😅😅😅😅😅,0
134, 70 karod wala ajh kati churiphuri garchha thukka,2
135, 70 karod badau na solti,2
136, ra pra pa samg sah yatra garchha emale le,2
137, 70 pachhi aru kati ho ab kehi samay rokiekoma kin risaunu hunchha neta jyu.,2
138, chor aayo !,0
139, laj saram chhain chor lai,0
140, gakul 70 kharab chor ho,0
141, yo gokule ko dimagama kehi samasya chha jasto chha,2
142, chor daka,0
143," thukka yasta khuraphati khadkeko haliharu lai pani midiyama sthan dine? kohi napaera ? khadkeko hali , pratigamiko matiyar bhaera krantikarisang jori nakhoj",0
144, taman,2
145, janajati jasta ahilesamma damanama parekaharulai kota chhutauda gali garneharule kshamata nabhaeko manchhe aauchhan re timiharuko niyam ra kanunale yastai kshamata bhaeko manchhe lyauchhana.,2
146, pagalapana...,2
147," sansar kai pahilo nakacharo ,70 karod praman sahit aauda pani yati dherai ghamanda . bhrasta lai ke sajay hunuparchha bhannus sathi ho ?",0
148, ma pani dislike garna matra aaki hum.,0
149, la hera yasko dambha,2
150, yo phataha lai bolaera ke chhalaphal gareko hola,0
151, hehehe pagal sale 70 karod muji yaslai bhetn pae,0
152, 70 karod baskota,2
153," budhale ni ukhan tukka dine raichha,,",2
154, lajapacheko 70 karod,0
155, lata gauko gada tanneri neta haru,2
156, yinai anuhar aghi sare emale pattasaph nischit chha.,2
157, 70 karod kam bhayo ?,2
158, mero khatama eka bora haldinusat gokule chor,0
159," gokul baskota le sidha ensar dinchha, aru neta jasto chiplo ‌dhasdaina. tesaile man parchha.",1
160, 70 karodako muso,0
161, netaharu bhrastachar garchhan janatako chhorachhori bideshama rudai basnu pareko chha netahachai khanchhana??,0
162, 70 daka,0
163, bo lakad … oliko lakad gokul ji,2
164, yo muji 70 karod lai kin lyaunu ho muji dhamala,0
165, 70 hoin ab byaj sahit 75pugi sakyo ho,2
166, terima 70,0
167," aaj samma emale ko sarakar bhako bhae lalapurja painthyo hola, gathabumdhan sarakar le dubayo.",2
168, yas ki ma daka chor phataha gokkule,0
169, sattari karodaka ekla malik gople kaji jyu lai sattari patak jadau gardachhu🤣🤣🤣🤣,2
170, kabheli janata ko dhukadhuki aadaranaiy 70 karod (gai ko anuhar pareko goru ),2
171, yo rikhi dhamalale surje ra gokule bahek aru gesta paudain,2
172, ab ko chunaw ma yo gu baskotalai kabhreli janatale bhot diera jitae bhane kabhreko jillako 100 warsha samma wikas hundain,0
173, analain manoranjan,1
174, yasta neta ta paleko chha kepi oli le,2
175, emale lai yastai neta bhaera ab arko chunawama 50 sit pani aaudain gaph matrai thulo garne ho yinale kam chhain nepalaka chor netaharuko janatako namama rajaniti garna chhode hunchha ab janata bujhne bhaisake chunawama eka eka hisab hunchha kepiko chhoro bhaera ho jogako natra aru bhaeko bhae 70 karod kandama jarur jel janthe.,0
176, 70 kumar,2
177, chunaw ma makuneko halat ke hunchha jantalai ram्ro thachh 17000ko ta kuranai nagarum,2
178, tero bau kepi ko birta ho thag ab ta latha khani ho,0
179, sahi tarka gokul ji ..,1
180, madhab kumarale chunawajitekahun bhane ab jitera dekhaunu paryae rishi ji.patrakar ji sahi wisleshan garna tapailai kele chhekekae chha?kharakhajana!!!!!!!,2
181, emale ko karan le des sakine bhayo 😭😭,0
182, wideshiko chamcha,0
183, Yo 79 karod aayo pheri aayo. gha ma di,2
184, hain yo manchhelai kin jail ma nakocheko,2
185, 70 karod bhrastachar garneko antarwarta ke sunirahanu,2
186," gokule lai bolnu kina saram lagdaina? 70 karod bhrastachar ,kamisan kanda prasta chha..",0
187, sahi ra haki manachhe lagachh,2
188, sital banur pharma,2
189, padhchha aj pani 70 karaed,2
190, 70 karod aawaj lyaunu bahirinu kanun sammat ani chahin madhab nepal kanun biparit gare ke ho yo para pheri ma madhab nepalako jhole hain hai jhole haru,2
191," aaulas bhot magna bhrastachari , 34:31 bat bhrastachariko kuro suru garchha dhamalale",0
192," hepni, kaelyapsa lai pani 70 karaed le jindagi bhar satai rahane bhayae🤣🤣🤣",2
193, 70 karod aadha aadha garum kaka ma kati bidesh ma dukh garnu tapai lai sath din lauchhu setin milaudai garnu ma ajhai samarthan lyauchhu ni uniharulai ni bhag dinu paryo ni,2
194, yo choralai jhel kahile kochne ho,0
195, nepali man,2
196, laj nabhaeko pagal chor bharta chahin khane tar samsad badh garne ajhai lokatantra ko kura garne,0
197," sabai bhanda pahila 70korod bektile rajinama dinuparchha emalelai ram्ro banaunako lagi, emalema ram्ra manchheharu pani dherai chhan yasta",2
198, bhastracharinetalai turuntai barkhasta garnuparchhaㅣ,0
199, rishi dhamala kangresako manchhe bhaerahaela khali sherabahadur kae matra kura garchhan,2
200, risi dhamala kaite patrakar bhayo. khali prachanda ra makuneko pakshama matra bolchha..patrakarat janatako pakshama hunuparchhani,2
201, kharo ra prasta thet kuro garne samkaha neta gakul baskota,2
202, yaslai desh nikala garnnuparchha,0
203, nanda oli gaule,2
204, 70 karodako malik lai kasto kasto kament aaeko chha bhanera herna aaune ko ko hunuhunchha 🤟🤟🤟,2
205, ahile aaphule pheri 70 karod jhwam parna napaera risaudai chha bhatuwa,0
206, ali ram्ro manchheharulai liera interviwer ganuhola,1
207, yo rishi dhamala lai laj nai chhain kin yasta khoka netalai bolauchhan bhanya ke,0
208, maile kati bhanau ke bhanya kisan majaduralai lyaunus ke,2
209, bhrastachar netaharulai kin lyaunu ani kin sodnu 70 karod bhanera na sodnelai laj na garnelai laj,0
210, kura sahi garnubhayo,1
211, dimak tatera aauchh bhanya yasako kura sunda .,2
212, nepali rajanitiko hakki neta gokul baskota rahechh bhanne kura Thaha bhayo hai.khulam khulla chyalenja garda pani kin chhanawin nagarya hola sarakara?,2
213, yae chaeralai ke Thaha prachandale garda khuleaam sabaikae biraedh garnapakae chhu bhanera.,2
214, chhi chhi chhi aru kohi nabhaeko le yahi chor lai kin dekhnu paro yaslai ta jel mai kochnu paro 70 70 70 70 70 70 satai choti 70 chor,0
215, hijo emale rajaniti ma hiro thyo ab wistar ma khaskidaichh kinaki emaleko pramukh kepi swamum aaphno satta ko lagi je jasto rananitijna yojana apanaun sakne rahechha. yo kayar deshadrohi kepi aaj mcc paksha ma okalat ra drustha yojana parikalpana gardaichha.,2
216, kepi oli ko bhaphadar ku.......,2
217," yae gaekule khate bhrastachari lai baelna pani laj mandaina,samsadama halla garera talab bhatta khanchha,janatakae pasina khanchha,karu janatakae uhin ke ke khanu ni!",0
218," kepi dakale yae gukhanelai 70 karaed ghus khan diyae, samsad chahidain bhanera 2 2 patak samsad bighathan garyae ani baelna yae dakalai laj lagdaina,aeliwesanama partyak byakTilai 3000 hajaraka darale paisa diyar khan ra Chitwan ghumna ra herna gayaka manchhe mula gu khane",0
219, jasle jesukai bhaneni gokul kamred ko boli ma dam chha ✊✊✊✊✊,1
220, rishi dhamalako patrakarita sakiyo jasto lagchha gathawandhanako karyakarta jasari wakalat garna thaleko dekhinchha😆😆😆,0
221, tero bau olile ta samwidhanamai nabhako 2 choti sanasad wighatan garera lokatranta dhosta parna khojne aparadhi hain ..,0
222, Kp ko palama pahila pahila ta khub khedo khanthyo ta khoi wikas garya bhanera tyo wikas nadekhne aankhale rishiko ani ahile ko sarakarale ke garyo ta khoi ??? ahile jatatatai dhulo ani kachchi sadak omg ..pahila ta euta khaldo dekhna nahune samajik sanjal ma khub dekhinthyo ta ahile khoi ta bolya dhamala jiiiiiiiiiii ????? khudele susalne hamro desh ke bhanne yastalai .,2
223, bolima dam chha hamro gokulabako .,1
224, e rishi da yo muji bhrastalai praim telibhijanama kin lyaunu hunchha ?,0
225, 👉️ emale murdawad 😠😠😠,2
226, gokul baskota di lejenda😆,1
227, sapha man ka gokul ji salam ✊✊✊nekapa emale jindawad ✊✊☀️☀️☀️☀️,1
228, yo bhrastachari lai kin yeti ghamanda ?? 70 karod ko pardaphas huda ni yeti dherai aatmabal😡,0
229, gokule bhanna bitikai 70 karod ko matra yad aaunchha.70 karod 70 karod,2
230, 👉️ 70 karodako ajhai kati dherai churiphuri chha thukka hamro deshaka naitikata nabhaka chor netaharu 😠😠,0
231, kin lyako yasalai ? sattari karodako anuhar dekhna pani man chhaina.,0
232, jasale je sukai bhanepani gokul baskota kabhreko badsah huna.✊✊✊,1
233, yo manchheko thopda dekhyo ki khopadi garam hune ma matra hola ki ke ho?,0
234, yasta bhrastaharulai rojera pathaune hami janata kasta bhanya?,0
235, kati churiphuri yasko .,2
236, aushadhima bhrastachar garne yo maha papi ho.,0
237, ma yahan dislike garna ra yo manchhelai bahiskar garna matra aaeko ho. yesta bhrastachari netaharu Sabailai samajik samjalabat sadhaiko lagi bahiskar garao.,0
238, gokulajile bhanisake ta - bhrastachar gareko rahechh bhane bhanneharukai sabathok chha chhanabin gari pramanait garera dekhae bhaihalyo ni!,2
239, ke boleko hola yo 70 le samsad wigathan nai yo awasthako jad ho bhanne kin birsekae?,2
240, swachchha ra asal rajaniti garaum .,1
241, samariddha nepal nirman garaum .🇳🇵🇳🇵,1
242, MCC ab pas hunchha tyo pani gathabandhan jogaunako nimitta🤬😠😡,2
243, bhrastacharilai kin antarabarta lieko hola,0
244, chorale ma chor hun kadapi bhandain laj pacheko 70 karod waliko puchchharako churiphuri dekhda udek lagchha,0
245, wina swartha lobh lalach sabai kamyunista ekata jaruri chha deshaka lagi.,1
246, gokul kakalai mannaiparchha ba. 70 karodako tep nakkali re. diusai rat parne manchheharuko nai bolabal chha deshama. kati lajai namani bhanna sakeko ho bhane,2
247," 70 karod chor I aaphu chor hoin bhane kin rajinama surukka deko t ? magne belama 70 karod magne chor ,aile aaera nakali bhois ho re I",0
248, nepali samaj huiyaॅko pachhadi daudane samajabat kahile mathi uthne hola!,0
249, 70 karod kata kata lagani garnu bhayo janakari painchhaki???,2
250," yinale prasna uthe pachhi rajinama diyo re, naitikata dekhayo, sachi nai yini sahi rahechhan bhane yinaka ke pi le naitikta bechekai rahechh bhanne kuro yinaile pramanit garechhan् .",2
251, dhanyawad 🙏,1
252, 100% khakoi ho 70 karod chhati thokera bhanchhu kinaki khali pusti gar pusti gar bhanchha,2
253," 70 karodako damba ajhai hernu 😡😡😡😡,, kun nepali janatako kura??? timiharuko bhusseharu nepali janataharu hoina!!!!!",2
254, aphu padama huda niyam kanun anusasan nachahine aruma hunu parne sala gaeru,0
255," hijo dui tihai ko ghamanda garneko bahiriy pachhiko rodan ho ! bichara yo ukhane parti le kehi garnu saken ahile arule gardachhu bhanda rokne sahayog nagarne ani kasari hunachh deshama bikas ? ahile aera thik lagyo sahi ho dhamala sar ,",2
256, yo des bat samsodiy byabastha nai kharej garnu jaruri chha . hain bhane des ko halat sadhai yastai rahanchha .,2
257, naitikata haraeko manchhe,0
258, jasale je bhanos gokule kaka ram्ro neta hun,1
259, risaune matrai hoin kutna parne ho yadi ghotala nai garya bhae karabahi gare bhaigo natra barambar tachar kasle sahanchha,0
260, eka patak gokul baskota ra jnanendra shahi bich chhalaphal garnuparne bho rishiji,2
261, haJiri jawaph ma aako hoin risi ji 🤣🤣🤣,2
262, mananiy jyu bolima pariwartan hunuparchha.,2
263," mcclyae bhae bhanne haein , mcclaai leraae ta bhanne hae .desh ra janatakae hit hudain bhanne Thaha bhae mcckam rainachh bhanne hae .khabaradar mcc pas hun dine haein .",2
264, 70karaed taepakae salami chha baerrae.,1
265, yastai netalai ho ni chor aayo bhanne gaun ghar tir,0
266, rajendra lindelale bhane jastai,2
267," sattari karodaumko sandarbhama rishi dhamalale satra patak sodhieko dekhem ,dhamalalai mero prasna hijo sarakar bahir hunda birodh garneharu ahile sarakarama chha kin chhanabin nagareko bhanera sodhne ki?Kandaharu kin chhanabin nagareko kahile garne bhanera r‍yakhar‍yaki parne ki?",2
268, mcc nepaliko lagi ramrae hae,1
269, sahi ho kura.,1
270, sahi bhannu bho gokul ji .,1
271, ke 70 karod bhanchhau nalayak ho testa kilipsa prasaran garne patrukar aile nepali kangres ko kendriy sadasya bhako chha sala sab chutiya hun,0
272, sabai bhanda kharab neta gokul hun,0
273, sabai bhanda pahile kanun michera 70 karod ko bhrastachar garne gokul baskota le rajinama dinu parchha,2
274, yo chor lai dekhyo ta dimag tatiyera aauchh 😡😡😡,2
275, jabarajastiko kura garchha yar .,2
276, yasta wahiyat netalai lyar kin samay khera phalnu hunchha dhamala ji.chhi chhi,0
277, yae gaekulelai haraunuparchha,0
278, jati sakinchha saphai diun .,2
279, prasna garnai jandain ho yo dhamala ji le,2
280, chorako antarwarta aaechha 70 karod chor bhusadi😁,0
281, 70 karod chorako pheri aagaman bhaeko rahechh ma ta bhanchhu gokul chor desh chhoda.,0
282, budo goru jathau bhirama jau . thukka mero deshako neta laj pacheka bideshi dalarabadi desh purai dharashayama parisakyo .,0
283, jeje bhae pani yo manchhe ko kura sunda maja aauchh 🤪🤪🤪🤪🤪🤪,1
284, kya dinchha gokule bro 🙈🙈,2
285, yo 70 karod gokule olile garda khup churi phuri gariraheko chha laj saram nabhaeko,0
286," kabhreka badasaha, emaleko takata- gokul daiko kura sunna maja aauchh",1
287, 70 karod le ali badhi gaph dinchha,2
288, 70 karod bhrastachari kepi ko puchchhar,2
289, jasle jati sukai bhaneni gaekul bamaskaetalai maile mane,1
290, hoin yo ukhane ko chhoro ho bhandaima 70 karoda- wala gokule le pani hasaunu parne ho ra hijo usako parti huda sabai thik gareko re ahile bahiriy pachhi yo sarakar le kehi garna sakena re kati hasnu ho ab ta timiharu Perfect 👍 bhaisakechh saptahik ukhan tukka karekram chalauda hunchha all the best 👍👏,2
291, jasto guru tyastai chela.,2
292, gokul ji le garnu hunchha,2
293, marne belama lamo sas pherchha testai hola ni jhumreda...,2
294, 70 karod pani nakkali ho bhan na .,2
295, yo choralai kin gharighari antarabartako lagi bolauchhau dhamala budha?,0
296, 70 karodalai bolna pani laj lagdai ba,0
297, 70 karod dhikkar timro wichar murdawad,0
298, aama ko kura mama samg nagarnus na dhamala ji,2
299, yo rishi dhamalalai lajai chhain yar 1000 patak rajendra lindelalai lyau na yar aru netaharulai nalyau ke yar dai,0
300, chhichhichhichhi yasto nalayak lai pani ke lyaekae haela yar herne lai pani dikka . khai 70 karaed kata gayae . yae le pani ke madhawakumar shit dajna milchha. rishi sarale pani yasto lai lyaera aphnae khuttama aphai bancharo handai hunuhunchha hai.,0
301, gokul ko raj niti chahi kata,2
302, 70 karodako churiphuri yatro ?,2
303," sab thok gali garchhan ahile ,bholi aandra jodachhan mulaharu",2
304, manchhe kolyapsa gadinu paro,0
305, dalal bhagau desh bachau,2
306, 70karod ta bahir aayo ajh yinale kati khayo hola,2
307, yo nalayak 70 karod kata bat aayo,2
308, yo bhatuwa 70 karodalai kin bela bela ma bolauchhan midiya ma?,2
309, sahi kura,1
310, malai pani chaiyo bora bora paisa 🤣🤣,2
311, e ma le ko chunaw chinnha gokul baskota,2
312, 70 karodale thulo thulo kuro gardai chha ta,2
313, chorai ho. 🤨,0
314, bharasta charika khalak haru kati chunab chunab bhaneko ho,2
315, dalar sanchitit 70 ma bha chha,2
316, heraula re 😁😁😁😁😁😁😁kmedi chyampiyan ko jaj manoj sar le yo sunera kamenta garnu bho.....karod 70 karod ......tyas pachhi mero jo chor usaiko thulo sora.ini bhanda thulo chor ko hola? laj saram bhanne chhain ajh thulo kura garchha janatale malai ke bhanchhna bhanne pani nahune😁😁chunab jitne re thu,2
317, 70 carod khaera thulo kura garchha,2
318, bhrastachari daka.,0
319, nakkali tep 😂😂😂,2
320, bolna chai nidar neta ho gokul baskota jyu .,2
321, pheri yasako barwarot suru bhayo 😅😅😅😅😅,2
322, 70 karod wala ajh kati churiphuri garchha thukka,0
323, ra pra pa samg sah yatra garchha emale le,2
324, 70 pachhi aru kati ho ab kehi samay rokiekoma kin risaunu hunchha neta jyu.,2
325, chor aayo !,0
326, laj saram chhain chor lai,0
327, gakul 70 kharab chor ho,0
328, yo gokule ko dimagama kehi samasya chha jasto chha,2
329, chor daka,0
